"","Company.Name","Ticker.Symbol","Year"
"1","Phillips 66","PSX","2020"
"2","Home Depot","HD","2020"
"3","Apple","AAPL","2020"
"4","Berkshire Hathaway","BRK.A","2020"
"5","Kroger","KR","2020"
"6","McKesson","MCK","2020"
"7","AmerisourceBergen Corp.","ABC","2020"
"8","Amazon","AMZN","2020"
"9","Albemarle Corporation","ALB","2020"
"10","Akamai Technologies ","AKAM","2020"
"11","Allegion","ALLE","2021"
"12","Alliant Energy","LNT","2021"
"13","Ametek","AME","2021"
"14","Ansys","ANSS","2020"
"15","APA Corporation","APA","2021"
"16","Arthur J. Gallagher & Co.","AJG","2021"
"17","Arista Networks","ANET","2020"
"18","Atmos Energy","ATO","2020"
"19","AvalonBay Communities","AVB","2020"
"20","Avery Dennison","AVY","2020"
"21","AMCOR PLC","AMCR","2021"
"22","AutoZone Inc","AZO","2021"
"23","Ball Corporation","BLL","2020"
"24","Broadridge Financial Solutions","BR","2021"
"25","Alexandria Real Estate Equities, Inc","ARE","2020"
"26","BorgWarner Inc.","BWA","2021"
"27","Cerner Corporation","CERN","2020"
"28","BIO-RAD LABORATORIES INC","BIO","2020"
"29","Church & Dwight Co., Inc.","CHD","2020"
"30","Cincinnati Financial Corporation","CINF","2020"
"31","Comerica Inc.","CMA","2020"
"32","Campbell Soup Co.","CPB","2021"
"33","Copart, Inc.","CPRT","2021"
"34","Catalent Inc","CTLT","2020"
"35","The Cooper Companies, Inc","COO","2020"
"36","CMS Energy Corporation","CMS","2021"
"37","Charles River Laboratories Intl. Inc","CRL","2019"
"38","Franklin Resources, Inc.","BEN","2020"
"39","Citrix Systems, Inc","CTXS","2020"
"40","Bath & Body Works, Inc.","BBWI","2020"
"41","VF Corporation","VFC","2020"
"42","Under Armour, Incorporated","UAA","2021"
"43","Ulta Beauty, Inc.","ULTA","2020"
"44","Tapestry Inc.","TPR","2020"
"45","Ralph Lauren Corporation","RL","2021"
"46","PVH Corp. ","PVH","2020"
"47","Quest Diagnostics","DGX","2020"
"48","Carnival Corporation","CCL","2020"
"49","Monster Beverage ","MNST","2020"
"50","MGM Resorts International","MGM","2020"
"51","Conagra Brands ","CAG","2020"
"52","Domino's Pizza, Inc.","DPZ","2021"
"53","The Clorox Company","CLX","2021"
"54","Caesars Entertainment","CZR","2020"
"55","Fox Corporation","FOXA","2020"
"56","Hanesbrands","HBI","2020"
"57","Discovery Inc","DISCA","2021"
"58","Duke Realty Corp","DRE","2020"
"59","Dover Corporation","DOV","2020"
"60","Hilton Worldwide Holdings Inc.","HLT","2020"
"61","DTE Energy Co","DTE","2021"
"62","Hershey Company","HSY","2020"
"63","Davita Inc","DVA","2020"
"64","Kellogg's","K","2020"
"65","Las Vegas Sands","LVS","2020"
"66","Consolidated Edison, Inc.","ED","2020"
"67","Devon Energy Corporation","DVN","2021"
"68","Eastman Chemical Company","EMN","2020"
"69","Enphase Energy Inc","ENPH","2020"
"70","Wynn Resorts","WYNN","2020"
"71","Edison International","EIX","2020"
"72","Equity Residential","EQR","2021"
"73","Essex Property Trust Inc","ESS","2020"
"74","Entergy Corp","ETR","2020"
"75","Etsy Inc","ETSY","2020"
"76","Evergy Inc","EVRG","2020"
"77","Expedia Group Inc","EXPE","2020"
"78","Extra Space Storage Inc","EXR","2020"
"79","Fortune Brands Home and Security Inc","FBHS","2020"
"80","Diamondback Energy Inc","FANG","2021"
"81","FirstEnergy Corp","FE","2021"
"82","Fifth Third Bancorp","FITB","2020"
"83","FleetCor Technologies, Inc.","FLT","2020"
"84","FMC Corp","FMC","2020"
"85","Fastenal Company","FAST","2019"
"86","First Republic Bank","FRC","2020"
"87","Fortive","FTV","2021"
"88","Globe Life","GL","2020"
"89","Federal Realty Investment Trust ","FRT","2020"
"90","Generac Holdings, Inc.","GNRC","2021"
"91","Garmin Ltd.","GRMN","2020"
"92","W. W. Grainger Inc","GWW","2021"
"93","Corning","GLW","2020"
"94","Hologic","HOLX","2021"
"95","Huntington Bancshares","HBAN","2020"
"96","Hormel","HRL","2020"
"97","Henry Schein","HSIC","2020"
"98","Howmet Aerospace","HWM","2020"
"99","International Flavors & Fragrances","IFF","2020"
"100","Huntington Ingalls Industries","HII","2021"
"101","Incyte","INCY","2020"
"102","Interpublic Group","IPG","2020"
"103","Waste Management","WM","2020"
"104","IPG Photonics","IPGP","2021"
"105","Ingersoll Rand","IR","2020"
"106","Iron Mountain","IRM","2020"
"107","IDEX Corporation","IEX","2020"
"108","J. B. Hunt","JBHT","2020"
"109","Juniper Networks","JNPR","2021"
"110","Invesco","IVZ","2020"
"111","KeyCorp","KEY","2021"
"112","Keysight Technologies Inc","KEYS","2020"
"113","Jack Henry & Associates","JKHY","2020"
"114","Kimco Realty Corp","KIM","2020"
"115","Leidos","LDOS","2020"
"116","Leggett & Platt","LEG","2021"
"117","Kansas City Southern","KSU","2020"
"118","LKQ Corporation","LKQ","2020"
"119","LyondellBasell","LYB","2021"
"120","Abbott Laboratories","ABT","2019"
"121","Archer Daniels Midland","ADM","2019"
"122","American International Group, Inc.","AIG","2019"
"123","Allstate","ALL","2019"
"124","Amgen Inc","AMGN","2019"
"125","Macy's, Inc.","M","2021"
"126","Masco Corporation","MAS","2020"
"127","Mohawk Industries","MHK","2020"
"128","MARKETAXESS HOLDINGS INC","MKTX","2021"
"129","McCormick & Company","MKC","2021"
"130","Martin Marietta Materials, Inc.","MLM","2021"
"131","Marathon Oil Corporation","MRO","2020"
"132","MOLINA HEALTHCARE, INC.","MOH","2021"
"133","M&T Bank Corporation","MTB","2021"
"134","Mettler-Toledo International","MTD","2021"
"135","MOSAIC CO","MOS","2021"
"136","Norwegian Cruise Line Holdings Ltd","NCLH","2021"
"137","NiSource Inc.","NI","2021"
"138","NortonLifeLock Inc","NLOK","2021"
"139","Nielsen Holding","NLSN","2020"
"140","Cummins","CMI","2019"
"141","Starbucks","SBUX","2019"
"142","Kimberly-Clark","KMB","2019"
"143","C.H. Robinson Worldwide","CHRW","2020"
"144","Performance Food Group","PFGC","2020"
"145","Cognizant Technology Solutions","CTSH","2020"
"146","Chipotle Mexican Grill Inc.","CMG","2020"
"147","Applied Materials Inc.","AMAT","2020"
"148","SBA Communications Corp. Class A","SBAC","2019"
"149","HollyFrontier","HFC","2020"
"150","Regeneron Pharmaceuticals Inc.","REGN","2020"
"151","Penske Automotive Group","PAG","2020"
"152","Live Nation","LYV","2020"
"153","Synopsys Inc.","SNPS","2020"
"154","Lam Research Corporation","LRCX","2020"
"155","T. Rowe Price Group","TROW","2020"
"156","ResMed Inc.","RMD","2020"
"157","Cadence Design Systems Inc.","CDNS","2020"
"158","Tenneco","TEN","2019"
"159","Moody's Corporation","MCO","2020"
"160","Motorola Solutions Inc.","MSI","2020"
"161","Kohl's","KSS","2020"
"162","Nucor","NUE","2020"
"163","Roper Technologies Inc.","ROP","2020"
"164","Genuine Parts","GPC","2020"
"165","Avnet","AVT","2020"
"166","StoneX Group","SNEX","2020"
"167","IDEXX Laboratories Inc.","IDXX","2020"
"168","CarMax","KMX","2019"
"169","D.R. Horton","DHI","2019"
"170","IHS Markit Ltd.","INFO","2020"
"171","Intuit Inc.","INTU","2021"
"172","Trane Technologies plc","TT","2020"
"173","Aramark","ARMK","2020"
"174","Sysco","SYY","2019"
"175","Rite Aid","RAD","2020"
"176","Analog Devices Inc.","ADI","2020"
"177","Best Buy","BBY","2019"
"178","Jabil","JBL","2019"
"179","Host Hotels & Resorts","HST","2020"
"180","Lear","LEA","2019"
"181","TE Connectivity Ltd.","TEL","2020"
"182","Dollar Tree","DLTR","2020"
"183","Colgate-Palmolive","CL","2020"
"184","CBRE Group","CBRE","2019"
"185","Texas Instruments Incorporated","TXN","2020"
"186","Moderna Inc.","MRNA","2020"
"187","NGL Energy Partners","NGL","2020"
"188","Amphenol Corporation Class A","APH","2020"
"189","CDW","CDW","2020"
"190","Intuitive Surgical Inc.","ISRG","2020"
"191","S&P Global Inc.","SPGI","2020"
"192","Edwards Lifesciences Corporation","EW","2020"
"193","PPG Industries","PPG","2020"
"194","Baxter International Inc.","BAX","2020"
"195","Nordstrom","JWN","2019"
"196","Jacobs Engineering Group","J","2020"
"197","Fluor","FLR","2019"
"198","Synnex","SNX","2020"
"199","NXP Semiconductors NV","NXPI","2020"
"200","O'Reilly Automotive Inc.","ORLY","2020"
"201","eBay Inc.","EBAY","2020"
"202","Booking Holdings","BKNG","2020"
"203","Illinois Tool Works Inc.","ITW","2020"
"204","KLA Corporation","KLAC","2019"
"205","Manpower Group","MAN","2020"
"206","Estee Lauder Companies Inc. Class A","EL","2020"
"207","Ross Stores","ROST","2019"
"208","Arrow Electronics","ARW","2019"
"209","Realogy Holdings","RLGY","2020"
"210","Twitter Inc.","TWTR","2020"
"211","Sherwin-Williams","SHW","2019"
"212","Emerson Electric","EMR","2019"
"213","Take-Two Interactive","TTWO","2020"
"214","Electronic Arts","EA","2020"
"215","Halliburton","HAL","2020"
"216","Jones Lang LaSalle (JLL)","JLL","2019"
"217","Prologis","PLD","2020"
"218","FedEx","FDX","2020"
"219","Tesla","TSLA","2019"
"220","Tenet Healthcare","THC","2021"
"221","Becton, Dickinson and Company","BDX","2019"
"222","Stryker Corporation","SYK","2020"
"223","Micron Technology","MU","2020"
"224","Lumen Technologies","LUMN","2020"
"225","Union Pacific","UNP","2020"
"226","HCA Healthcare","HCA","2020"
"227","Newmont Corporation","NEM","2020"
"228","Plains GP Holdings","PAGP","2019"
"229","Qualcomm","QCOM","2020"
"230","General Dynamics","GD","2020"
"231","Boston Scientific Corporation","BSX","2020"
"232","ConocoPhillips","COP","2020"
"233","Tyson Foods","TSN","2019"
"234","General Mills","GIS","2021"
"235","Biogen Inc.","BIIB","2020"
"236","Aon Plc Class A","AON","2020"
"237","Delta Air Lines","DAL","2019"
"238","UPS","UPS","2019"
"239","Lennar","LEN","2020"
"240","McDonald's","MCD","2019"
"241","HP","HPQ","2019"
"242","TJX","TJX","2020"
"243","Mastercard","MA","2019"
"244","Crown Castle","CCI","2019"
"245","Altria Group","MO","2020"
"246","Lockheed Martin","LMT","2019"
"247","EOG Resources","EOG","2019"
"248","Marsh and McLennan","MMC","2020"
"249","Freeport-McMoRan Inc.","FCX","2020"
"250","Costco Wholesale","COST","2020"
"251","Thermo Fisher Scientific","TMO","2019"
"252","Mondelez International","MDLZ","2019"
"253","Dollar General","DG","2020"
"254","Ecolab Inc.","ECL","2020"
"255","L3Harris Technologies Inc","LHX","2020"
"256","International Paper","IP","2019"
"257","Paccar","PCAR","2021"
"258","IQVIA Holdings Inc","IQV","2020"
"259","Progressive","PGR","2019"
"260","Northrop Grumman","NOC","2019"
"261","Cardinal Health","CAH","2020"
"262","Southwest Airlines","LUV","2019"
"263","Omnicom Group","OMC","2020"
"264","Lowe's","LOW","2019"
"265","Centene","CNC","2020"
"266","Eli Lilly","LLY","2020"
"267","Johnson Controls International plc","JCI","2021"
"268","Simon Property Group","SPG","2020"
"269","Equinix Inc.","EQIX","2020"
"270","CSX Corporation","CSX","2020"
"271","Marriott International","MAR","2020"
"272","Eaton Corp. Plc","ETN","2020"
"273","Target","TGT","2020"
"274","Automatic Data Processing Inc.","ADP","2020"
"275","Hartford Financial Services","HIG","2020"
"276","Digital Realty Trust","DLR","2020"
"277","Humana","HUM","2019"
"278","Philip Morris International","PM","2019"
"279","Nike","NKE","2020"
"280","Gilead Sciences","GILD","2020"
"281","Dow","DOW","2019"
"282","Fiserv Inc.","FISV","2020"
"283","Hewlett Packard Enterprise","HPE","2019"
"284","Baker Hughes","BKR","2019"
"285","DXC Technology","DXC","2019"
"286","Enterprise Products Partners","EPD","2019"
"287","Honeywell International","HON","2020"
"288","DuPont","DD","2020"
"289","American Tower","AMT","2020"
"290","United Airlines Holdings","UAL","2019"
"291","Netflix","NFLX","2020"
"292","Sempra Energy","SRE","2020"
"293","PayPal Holdings","PYPL","2020"
"294","Linde plc","LIN","2020"
"295","Cisco Systems","CSCO","2020"
"296","NVIDIA Corporation","NVDA","2021"
"297","Pfizer","PFE","2019"
"298","Deere","DE","2020"
"299","Kraft Heinz","KHC","2020"
"300","PG&E","PCG","2020"
"301","Ameren Corp","AEE","2021"
"302","Exelon","EXC","2019"
"303","Synchrony Financial","SYF","2020"
"304","Truist Financial Corporation","TFC","2020"
"305","Cigna","CI","2019"
"306","Global Payments Inc.","GPN","2021"
"307","Duke Energy","DUK","2020"
"308","Microsoft","MSFT","2020"
"309","Norfolk Southern Corporation","NSC","2021"
"310","Fortinet Inc.","FTNT","2021"
"311","Loews","L","2019"
"312","Dell Technologies","DELL","2019"
"313","Capital One Financial","COF","2019"
"314","Goldman Sachs Group","GS","2019"
"315","Bank of New York Mellon","BK","2019"
"316","Citigroup","C","2019"
"317","PepsiCo","PEP","2019"
"318","General Electric","GE","2019"
"319","Johnson & Johnson","JNJ","2019"
"320","Carrier Global Corp.","CARR","2021"
"321","Illumina Inc.","ILMN","2021"
"322","Fidelity National Information Services Inc.","FIS","2020"
"323","Southern Company","SO","2020"
"324","Lincoln National","LNC","2019"
"325","Merck","MRK","2019"
"326","Prudential Financial","PRU","2019"
"327","Intercontinental Exchange Inc.","ICE","2020"
"328","ServiceNow Inc.","NOW","2021"
"329","Energy Transfer","ET","2019"
"330","Public Storage","PSA","2021"
"331","Coca-Cola","KO","2019"
"332","Medtronic Plc","MDT","2020"
"333","Autodesk Inc.","ADSK","2021"
"334","Danaher","DHR","2020"
"335","American Express","AXP","2019"
"336","Charter Communications","CHTR","2019"
"337","CME Group Inc. Class A","CME","2020"
"338","Charles Schwab Corporation","SCHW","2021"
"339","Occidental Petroleum","OXY","2020"
"340","DexCom Inc.","DXCM","2021"
"341","Bristol-Myers Squibb","BMY","2020"
"342","Travelers Co","TRV","2019"
"343","Procter & Gamble","PG","2020"
"344","Microchip Technology Incorporated","MCHP","2021"
"345","NextEra Energy","NEE","2020"
"346","Principal Financial","PFG","2020"
"347","U.S. Bancorp","USB","2020"
"348","BlackRock Inc.","BLK","2020"
"349","Broadcom","AVGO","2020"
"350","Aptiv PLC","APTV","2021"
"351","Chubb Limited","CB","2021"
"352","Boeing","BA","2020"
"353","T-Mobile US Inc.","TMUS","2020"
"355","MSCI Inc. Class A","MSCI","2021"
"356","Comcast","CMCSA","2020"
"357","American Electirc Power","AEP","2021"
"358","MID AMERICA APARTMENT COMMUNITIES INC.","MAA","2020"
"359","NASDAQ, INC.","NDAQ","2021"
"360","NRG ENERGY, INC.","NRG","2021"
"361","Nov Inc","NOV","2021"
"362","NetApp Inc.","NTAP","2021"
"363","3M","MMM","2020"
"364","A. O. Smith","AOS","2020"
"365","Accenture Plc Class A","ACN","2020"
"366","Activision Blizzard","ATVI","2020"
"367","Adobe Inc.","ADBE","2020"
"368","Advance Auto Parts","AAP","2020"
"369","Advanced Micro Devices Inc.","AMD","2020"
"370","Aecom","ACM","2020"
"371","Aflac","AFL","2020"
"372","Agilent Technologies Inc.","A","2020"
"373","Air Products and Chemicals Inc.","APD","2021"
"374","American Airlines Group","AAL","2019"
"375","Align Technology Inc.","ALGN","2020"
"376","Zoetis Inc. Class A","ZTS","2020"
"377","XPO Logistics","XPO","2020"
"378","Whirlpool","WHR","2020"
"379","Western Digital","WDC","2020"
"380","Welltower","WELL","2020"
"381","Wells Fargo","WFC","2020"
"382","Walt Disney","DIS","2020"
"383","Walgreens Boots Alliance","WBA","2020"
"384","Visa","V","2020"
"385","Vertex Pharmaceuticals Incorporated","VRTX","2020"
"386","Valero Energy","VLO","2020"
"387","US Foods Holding","USFD","2020"
"388","Brown-Forman Corporation","BF.B","2021"
"389","Ameriprise Financial","AMP","2021"
"390","AbbVie","ABBV","2019"
"391","Citizens Financial Group Inc.","CFG","2020"
"392","Darden Restaurants, Inc.","DRI","2021"
"393","Expeditors International of Washington Inc","EXPD","2020"
"394","Ford Motor Company","F","2020"
"395","Corteva Inc","CTVA","2020"
"396","News Corporation","NWSA","2021"
"398","LabCorp","LH","2021"
"399","Gartner","IT","2020"
"400","F5 Inc","FFIV","2020"
"401","Assurant","AIZ","2021"
"402","Alaska Air Group","ALK","2020"
"403","Kinder Morgan","KMI","2020"
"404","Eversource Energy","ES","2020"
"405","NVR INC","NVR","2021"
"406","NEWELL BRANDS INC.","NWL","2021"
"407","Northern Trust Company","NTRS","2021"
"408","Realty Income Corporation","O","2021"
"409","OLD DOMINION FREIGHT LINE, INC.","ODFL","2021"
"410","Organon & Co.","OGN","2021"
"411","Oneok, Inc","OKE","2020"
"412","Otis Worldwide Corp","OTIS","2021"
"413","Paychex, Inc","PAYX","2021"
"414","Healthpeak Properties, Inc","PEAK","2021"
"415","Paycom Software, Inc.","PAYC","2021"
"416","Public Service Enterprise Group Inc","PEG","2021"
"417","PENN Entertainment Inc.","PENN","2021"
"418","PBF Energy Inc.","PBF","2021"
"419","PulteGroup, Inc.","PHM","2021"
"420","Packaging Corp of America","PKG","2021"
"421","PerkinElmer, Inc.","PKI","2021"
"422","Pentair PLC","PNR","2021"
"423","Pool Corporation","POOL","2021"
"424","PPL Corporation","PPL","2021"
"425","Perrigo Company PLC","PRGO","2021"
"426","PTC Inc","PTC","2020"
"427","Quanta Services Inc","PWR","2021"
"428","Pioneer Natural Resources Co","PXD","2021"
"429","PINNACLE WEST CAPITAL CORP","PNW","2021"
"430","Salesforce","CRM","2021"
"431","Royal Caribbean Cruises Ltd","RCL","2021"
"432","Qorvo, Inc.","QRVO","2022"
"433","EVEREST RE GROUP LTD","RE","2021"
"434","REGENCY CENTERS CORPORATION","REG","2021"
"435","REGIONS FINANCIAL CORPORATION","RF","2021"
"436","Robert Half International","RHI","2021"
