"","Company.Name","Ticker.Symbol","CUSIP","SIC.Code","GICS.Sector","GICS.Industry","CM2a..Environ.Comps"
"1","Enter the full legal name of the company you are covering","Enter the ticker symbol for the company you are covering","Enter the CUSIP (Committee on Uniform Security Identification Procedures) Code for the company you are covering","Enter the SIC Code (Standard Industrial Classification Code) for the company you are covering.",NA,"Enter the GICS Industry (Global Industry Classification Standard) for the company you are covering.","Core Metric 2a. Do the board member biographies indicate that some members of the board have competencies in environmental topics? (competencies include but are not limited to professional experience, academic experience, and bachelor/master/PhD degrees)."
"3","Phillips 66","PSX","718546104","2911","Energy","Oil, Gas & Consumable Fuels","0.5"
"4","Home Depot","HD","437076102","5211","Consumer Discretionary","Specialty Retail","1"
"6","Apple","AAPL","037833100","3663","Information Technology","Technology Hardware, Storage & Peripherals","1"
"12","Kroger","KR","501044101","5411","Consumer Staples","Food & Staples Retailing","1"
"16","AmerisourceBergen Corp.","ABC","03073E105","5122","Health Care","Health Care Providers & Services","1"
"21","Albemarle Corporation","ALB","012653101","2899","Materials","Specialty Chemicals","1"
"25","Alliant Energy","LNT","018802108","4911","Utilities","Electric Utilities","1"
"27","American Water Works","AWK","030420103","4941","Utilities","Water Utilities","1"
"29","APA Corporation","APA","03743Q108  ","1311","Energy","Oil & Gas Exploration & Production","1"
"35","AMCOR PLC","AMCR","G0250X107","5113","Materials","Paper Packaging","1"
"50","CMS Energy Corporation","CMS","125896100","4931","Utilities","Multi-Utilities","1"
"58","Tapestry Inc.","TPR","876030107","5621","Consumer Discretionary","Textiles, Apparel & Luxury Goods","1"
"59","Ralph Lauren Corporation","RL","751212101","5651","Consumer Discretionary","Textiles, Apparel & Luxury Goods","1"
"62","Carnival Corporation","CCL","143658300","4724","Consumer Discretionary","Hotels, Restaurants & Leisure","0.5"
"67","The Clorox Company","CLX","189054109","5169","Consumer Staples","Household Products","1"
"72","Duke Realty Corp","DRE","264411505","6798","Real Estate","Equity Real Estate Investment Trusts (REITs)","1"
"74","Hilton Worldwide Holdings Inc.","HLT","43300A203","7011","Consumer Discretionary","Hotels, Restaurants & Leisure","1"
"75","DTE Energy Co","DTE","233331107","4911","Utilities","Multi-Utilities","1"
"80","Consolidated Edison, Inc.","ED","209115104","4911","Utilities","Multi-Utilities","1"
"84","Wynn Resorts","WYNN","983134107","7011","Consumer Discretionary","Hotels, Restaurants & Leisure","0.5"
"85","Edison International","EIX","281020107","4911","Utilities","Electric Utilities","1"
"86","Equity Residential","EQR","29476L107","6798","Real Estate","Equity Real Estate Investment Trusts (REITs)","1"
"89","Etsy Inc","ETSY","29786A106","7389","Consumer Discretionary","Internet & Direct Marketing Retail","1"
"94","Diamondback Energy Inc","FANG","25278X109","1311","Energy","Oil, Gas & Consumable Fuels","1"
"95","FirstEnergy Corp","FE","337932107","4911","Utilities","Electric Utilities","1"
"96","Fifth Third Bancorp","FITB","316773100","6022","Financials","Regional Banks","1"
"98","FMC Corp","FMC","302491303","2800","Materials","Fertilizers & Agricultural Chemicals","1"
"109","Huntington Bancshares","HBAN","446150104","6021","Financials","Regional Banks","1"
"111","Henry Schein","HSIC","806407102","5047","Health Care","Health Care Distributors","1"
"129","Kimco Realty Corp","KIM","49446R109","6798","Real Estate","Equity Real Estate Investment Trusts (REITs)","0.5"
"134","LyondellBasell","LYB","N53745100","2860","Materials","Specialty Chemicals","1"
"136","Archer Daniels Midland","ADM","039483102","2070","Consumer Staples","Food Products","1"
"138","Allstate","ALL","020002101","6331","Financials","Insurance","1"
"145","Martin Marietta Materials, Inc.","MLM","573284106","1400","Materials","Construction Materials","1"
"146","Marathon Oil Corporation","MRO","565849106","1311","Energy","Oil, Gas & Consumable Fuels","1"
"150","MOSAIC CO","MOS","61945C103","2870","Materials","Chemicals","1"
"151","Norwegian Cruise Line Holdings Ltd","NCLH","G66721104","4400","Consumer Discretionary","Hotels, Restaurants & Leisure","0.5"
"152","NiSource Inc.","NI","65473P105","4931","Utilities","Multi-Utilities","1"
"161","Chipotle Mexican Grill Inc.","CMG","169656105","5812","Consumer Discretionary","Hotels, Restaurants & Leisure","1"
"164","HollyFrontier","HFC","436106108","2911","Energy","Oil, Gas & Consumable Fuels","1"
"186","IHS Markit Ltd.","INFO","G47567105","7370","Industrials","Professional Services","1"
"188","Trane Technologies plc","TT","G8994E103","3822","Industrials","Building Products","1"
"208","S&P Global Inc.","SPGI","78409V104","7320","Financials","Capital Markets","1"
"210","PPG Industries","PPG","693506107","2851","Materials","Chemicals","1"
"234","Halliburton","HAL","406216101","1389","Energy","Energy Equipment & Services","1"
"246","Newmont Corporation","NEM","651639106","1040","Materials","Metals & Mining","1"
"259","McDonald's","MCD","580135101","5812","Consumer Discretionary","Hotels, Restaurants & Leisure","1"
