Numeric Metric,Minimum value,1stQuartile,Median,Mean,3rdQuartile,Maximum value,NA
     Year,Min.   :2019  ,1st Qu.:2020  ,Median :2020  ,Mean   :2020  ,3rd Qu.:2020  ,Max.   :2022  ,NA
Audited.Report,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.224  ,3rd Qu.:0.500  ,Max.   :1.000  ,NA
Number.of.Board,Min.   : 6.00  ,1st Qu.:10.00  ,Median :11.00  ,Mean   :10.97  ,3rd Qu.:12.00  ,Max.   :25.00  ,NA
Number.of.Board.Sour,Min.   :1.00  ,1st Qu.:1.00  ,Median :3.00  ,Mean   :2.42  ,3rd Qu.:3.00  ,Max.   :5.00  ,NA's   :231  
CM2a.Econ.Comps,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.773  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM2a....economic,Min.   : 0.000  ,1st Qu.: 3.000  ,Median : 6.000  ,Mean   : 5.905  ,3rd Qu.: 9.000  ,Max.   :19.000  ,NA's   :28  
CM2a..Environ.Comps,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.196  ,3rd Qu.:0.000  ,Max.   :1.000  ,NA
CM2a..environ,Min.   : 0.000  ,1st Qu.: 0.000  ,Median : 0.000  ,Mean   : 1.993  ,3rd Qu.: 3.000  ,Max.   :12.000  ,NA's   :219  
CM2a..Social.Comps,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.192  ,3rd Qu.:0.000  ,Max.   :1.000  ,NA
CM2a....social,Min.   : 0.000  ,1st Qu.: 0.000  ,Median : 0.000  ,Mean   : 2.111  ,3rd Qu.: 2.500  ,Max.   :14.000  ,NA's   :213  
 CM2a.Source,Min.   :1.000  ,1st Qu.:3.000  ,Median :3.000  ,Mean   :2.802  ,3rd Qu.:3.000  ,Max.   :5.000  ,NA's   :112  
CM2b.Governance,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.937  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM2b.Response,Min.   : 0.000  ,1st Qu.: 1.000  ,Median : 6.000  ,Mean   : 5.343  ,3rd Qu.: 9.000  ,Max.   :16.000  ,NA's   :19  
 CM2b.Source,Min.   :1.00  ,1st Qu.:2.00  ,Median :3.00  ,Mean   :2.46  ,3rd Qu.:3.00  ,Max.   :5.00  ,NA's   :39  
CM2c.Governance,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.978  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM2c.Response,Min.   : 0.000  ,1st Qu.: 2.000  ,Median : 6.000  ,Mean   : 5.833  ,3rd Qu.: 9.000  ,Max.   :16.000  ,NA's   :3  
 CM2c.Source,Min.   :1.000  ,1st Qu.:3.000  ,Median :3.000  ,Mean   :2.653  ,3rd Qu.:3.000  ,Max.   :5.000  ,NA's   :235  
CM2d.Governance,Min.   :0.0000  ,1st Qu.:1.0000  ,Median :1.0000  ,Mean   :0.9389  ,3rd Qu.:1.0000  ,Max.   :1.0000  ,NA's   :1  
 CM2d.Source,Min.   :1.000  ,1st Qu.:2.000  ,Median :3.000  ,Mean   :2.497  ,3rd Qu.:3.000  ,Max.   :5.000  ,NA's   :25  
CM2e.Governance,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.987  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
 CM2e.Source,Min.   :1.000  ,1st Qu.:2.000  ,Median :2.000  ,Mean   :2.448  ,3rd Qu.:3.000  ,Max.   :5.000  ,NA's   :9  
CM2f.Governance,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.963  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM2f.Response.b,Min.   :0.000  ,1st Qu.:2.000  ,Median :3.000  ,Mean   :3.144  ,3rd Qu.:4.000  ,Max.   :9.000  ,NA's   :8  
 CM2f.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :3.000  ,Mean   :2.207  ,3rd Qu.:3.000  ,Max.   :5.000  ,NA's   :17  
CM2g.Governance,Min.   :0.000  ,1st Qu.:0.000  ,Median :1.000  ,Mean   :0.729  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
 CM2g.Number,Min.   : 0.000  ,1st Qu.: 2.000  ,Median : 3.000  ,Mean   : 2.973  ,3rd Qu.: 4.000  ,Max.   :14.290  ,NA's   :135  
CM2g.Category,Min.   :1.000  ,1st Qu.:2.000  ,Median :2.000  ,Mean   :1.779  ,3rd Qu.:2.000  ,Max.   :2.000  ,NA's   :138  
 CM2g.Source,Min.   :1  ,1st Qu.:1  ,Median :2  ,Mean   :2  ,3rd Qu.:3  ,Max.   :5  ,NA's   :136  
CM2h.Governance,Min.   :0.00000  ,1st Qu.:0.00000  ,Median :0.00000  ,Mean   :0.02505  ,3rd Qu.:0.00000  ,Max.   :1.00000  ,NA's   :1  
 CM2h.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.261  ,3rd Qu.:1.000  ,Max.   :3.000  ,NA's   :477  
CM3.Material.is,Min.   :0.00  ,1st Qu.:0.00  ,Median :1.00  ,Mean   :0.65  ,3rd Qu.:1.00  ,Max.   :1.00  ,NA
  CM3.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.107  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :174  
CM3.Materiality.Map.,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.308  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM4a.Anti.corruption,Min.   :0.00  ,1st Qu.:0.00  ,Median :0.00  ,Mean   :0.21  ,3rd Qu.:0.50  ,Max.   :1.00  ,NA
CM4a...of.gover,Min.   :  0.00  ,1st Qu.:100.00  ,Median :100.00  ,Mean   : 95.44  ,3rd Qu.:100.00  ,Max.   :100.00  ,NA's   :454  
CM4a.Percent.of.empl,Min.   :  4.17  ,1st Qu.: 99.00  ,Median :100.00  ,Mean   : 97.21  ,3rd Qu.:100.00  ,Max.   :100.00  ,NA's   :332  
CM4a.Percent.of.busi,Min.   : 91.00  ,1st Qu.:100.00  ,Median :100.00  ,Mean   : 99.38  ,3rd Qu.:100.00  ,Max.   :100.00  ,NA's   :485  
CM4d.Anti.corruption,Min.   :0.0000  ,1st Qu.:0.5000  ,Median :1.0000  ,Mean   :0.7796  ,3rd Qu.:1.0000  ,Max.   :1.0000  ,NA's   :1  
  CM4.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.243  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :85  
CM7a.GHG.Emissions.,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.828  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM7a.Response..in.me,Min.   :       0  ,1st Qu.:   13585  ,Median :   69174  ,Mean   : 2827644  ,3rd Qu.:  601114  ,Max.   :88213565  ,NA's   :88  
  CM7a.Units,Min.   :1.000  ,1st Qu.:2.000  ,Median :2.000  ,Mean   :1.974  ,3rd Qu.:2.000  ,Max.   :2.000  ,NA's   :83  
